_id,user,provider,date,timeSlot,items[0].name,items[1].name,items[2].name,items[3].name,items[4].name,items[5].name,items[0].itemType,items[1].itemType,items[2].itemType,items[3].itemType,items[4].itemType,items[5].itemType,items[0].price,items[1].price,items[2].price,items[3].price,items[4].price,items[5].price,items[0].quantity,items[1].quantity,items[2].quantity,items[3].quantity,items[4].quantity,items[5].quantity,items[0]._id,items[1]._id,items[2]._id,items[3]._id,items[4]._id,items[5]._id,totalPrice,amountPaid,status,paymentStatus,razorpayOrderId,createdAt,updatedAt,__v,platformFee,providerEarning
69e0a6cd2eab0b385a715b5b,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-19T18:30:00.000Z,dinner,Dal Makhani,Mixed Veg Curry,,,,,dal,sabzi,,,,,55,45,,,,,1,2,,,,,69e0a6cd2eab0b385a715b5c,69e0a6cd2eab0b385a715b5d,,,,,145,145,completed,paid,,2026-01-19T18:30:00.000Z,2026-01-19T18:30:00.000Z,0,7,138
69e0a6cd2eab0b385a715b5e,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-22T18:30:00.000Z,dinner,Veg Biryani,Rajma Masala,Garlic Naan,Ice Cream,Kadhai Paneer,,rice,dal,bread,dessert,sabzi,,55,50,18,30,65,,1,1,1,1,1,,69e0a6cd2eab0b385a715b5f,69e0a6cd2eab0b385a715b60,69e0a6cd2eab0b385a715b61,69e0a6cd2eab0b385a715b62,69e0a6cd2eab0b385a715b63,,218,218,completed,paid,,2026-01-22T18:30:00.000Z,2026-01-22T18:30:00.000Z,0,11,207
69e0a6cd2eab0b385a715b64,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-23T18:30:00.000Z,lunch,Dal Fry,Aloo Matar,,,,,dal,sabzi,,,,,40,42,,,,,2,2,,,,,69e0a6cd2eab0b385a715b65,69e0a6cd2eab0b385a715b66,,,,,164,164,completed,paid,,2026-01-23T18:30:00.000Z,2026-01-23T18:30:00.000Z,0,8,156
69e0a6cd2eab0b385a715b67,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-24T18:30:00.000Z,dinner,Butter Naan,Jeera Rice,Malai Kofta,Kheer,,,bread,rice,sabzi,dessert,,,15,30,70,30,,,2,2,1,2,,,69e0a6cd2eab0b385a715b68,69e0a6cd2eab0b385a715b69,69e0a6cd2eab0b385a715b6a,69e0a6cd2eab0b385a715b6b,,,220,220,completed,paid,,2026-01-24T18:30:00.000Z,2026-01-24T18:30:00.000Z,0,11,209
69e0a6cd2eab0b385a715b6c,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-24T18:30:00.000Z,lunch,Paneer Butter Masala,Dal Tadka,Veg Biryani,Gulab Jamun,Garlic Naan,,sabzi,dal,rice,dessert,bread,,65,40,55,25,18,,2,1,2,1,2,,69e0a6cd2eab0b385a715b6d,69e0a6cd2eab0b385a715b6e,69e0a6cd2eab0b385a715b6f,69e0a6cd2eab0b385a715b70,69e0a6cd2eab0b385a715b71,,341,341,completed,paid,,2026-01-24T18:30:00.000Z,2026-01-24T18:30:00.000Z,0,17,324
69e0a6cd2eab0b385a715b72,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-26T18:30:00.000Z,dinner,Garlic Naan,Dal Makhani,Mixed Veg Curry,Jeera Rice,,,bread,dal,sabzi,rice,,,18,55,45,30,,,1,1,2,1,,,69e0a6cd2eab0b385a715b73,69e0a6cd2eab0b385a715b74,69e0a6cd2eab0b385a715b75,69e0a6cd2eab0b385a715b76,,,193,193,completed,paid,,2026-01-26T18:30:00.000Z,2026-01-26T18:30:00.000Z,0,10,183
69e0a6cd2eab0b385a715b77,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-26T18:30:00.000Z,dinner,Garlic Naan,Dal Makhani,Mixed Veg Curry,Jalebi,,,bread,dal,sabzi,dessert,,,18,55,45,25,,,1,2,1,1,,,69e0a6cd2eab0b385a715b78,69e0a6cd2eab0b385a715b79,69e0a6cd2eab0b385a715b7a,69e0a6cd2eab0b385a715b7b,,,198,198,completed,paid,,2026-01-26T18:30:00.000Z,2026-01-26T18:30:00.000Z,0,10,188
69e0a6cd2eab0b385a715b7c,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-27T18:30:00.000Z,dinner,Roti,Veg Biryani,,,,,bread,rice,,,,,10,55,,,,,1,1,,,,,69e0a6cd2eab0b385a715b7d,69e0a6cd2eab0b385a715b7e,,,,,65,65,completed,paid,,2026-01-27T18:30:00.000Z,2026-01-27T18:30:00.000Z,0,3,62
69e0a6cd2eab0b385a715b7f,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-28T18:30:00.000Z,lunch,Raita,Paratha,Jeera Rice,,,,side,bread,rice,,,,20,15,30,,,,1,1,1,,,,69e0a6cd2eab0b385a715b80,69e0a6cd2eab0b385a715b81,69e0a6cd2eab0b385a715b82,,,,65,65,completed,paid,,2026-01-28T18:30:00.000Z,2026-01-28T18:30:00.000Z,0,3,62
69e0a6cd2eab0b385a715b83,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-28T18:30:00.000Z,lunch,Matar Paneer,Paratha,Jeera Rice,Raita,Masoor Dal,,sabzi,bread,rice,side,dal,,60,15,30,20,38,,1,1,1,1,1,,69e0a6cd2eab0b385a715b84,69e0a6cd2eab0b385a715b85,69e0a6cd2eab0b385a715b86,69e0a6cd2eab0b385a715b87,69e0a6cd2eab0b385a715b88,,163,163,completed,paid,,2026-01-28T18:30:00.000Z,2026-01-28T18:30:00.000Z,0,8,155
69e0a6cd2eab0b385a715b89,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-28T18:30:00.000Z,dinner,Steamed Rice,Paneer Tikka Masala,Butter Naan,Rasmalai,,,rice,sabzi,bread,dessert,,,25,70,15,35,,,1,2,1,1,,,69e0a6cd2eab0b385a715b8a,69e0a6cd2eab0b385a715b8b,69e0a6cd2eab0b385a715b8c,69e0a6cd2eab0b385a715b8d,,,215,215,completed,paid,,2026-01-28T18:30:00.000Z,2026-01-28T18:30:00.000Z,0,11,204
69e0a6cd2eab0b385a715b8e,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-28T18:30:00.000Z,dinner,Dal Tadka,Paneer Tikka Masala,Butter Naan,,,,dal,sabzi,bread,,,,40,70,15,,,,2,2,1,,,,69e0a6cd2eab0b385a715b8f,69e0a6cd2eab0b385a715b90,69e0a6cd2eab0b385a715b91,,,,235,235,completed,paid,,2026-01-28T18:30:00.000Z,2026-01-28T18:30:00.000Z,0,12,223
69e0a6cd2eab0b385a715b92,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-29T18:30:00.000Z,lunch,Roti,Baingan Bharta,Shrikhand,Veg Pulao,Chana Dal,,bread,sabzi,dessert,rice,dal,,10,45,30,35,40,,2,1,1,1,2,,69e0a6cd2eab0b385a715b93,69e0a6cd2eab0b385a715b94,69e0a6cd2eab0b385a715b95,69e0a6cd2eab0b385a715b96,69e0a6cd2eab0b385a715b97,,210,210,completed,paid,,2026-01-29T18:30:00.000Z,2026-01-29T18:30:00.000Z,0,11,199
69e0a6cd2eab0b385a715b98,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-29T18:30:00.000Z,dinner,Kadhai Paneer,Rajma Masala,Veg Biryani,,,,sabzi,dal,rice,,,,65,50,55,,,,1,2,1,,,,69e0a6cd2eab0b385a715b99,69e0a6cd2eab0b385a715b9a,69e0a6cd2eab0b385a715b9b,,,,220,220,completed,paid,,2026-01-29T18:30:00.000Z,2026-01-29T18:30:00.000Z,0,11,209
69e0a6cd2eab0b385a715b9c,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-01-30T18:30:00.000Z,lunch,Roti,Fruit Custard,Jeera Rice,Aloo Matar,,,bread,dessert,rice,sabzi,,,10,30,30,42,,,1,1,2,1,,,69e0a6cd2eab0b385a715b9d,69e0a6cd2eab0b385a715b9e,69e0a6cd2eab0b385a715b9f,69e0a6cd2eab0b385a715ba0,,,142,142,completed,paid,,2026-01-30T18:30:00.000Z,2026-01-30T18:30:00.000Z,0,7,135
69e0a6cd2eab0b385a715ba1,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-02T18:30:00.000Z,dinner,Dal Makhani,Mixed Veg Curry,,,,,dal,sabzi,,,,,55,45,,,,,1,1,,,,,69e0a6cd2eab0b385a715ba2,69e0a6cd2eab0b385a715ba3,,,,,100,100,completed,paid,,2026-02-02T18:30:00.000Z,2026-02-02T18:30:00.000Z,0,5,95
69e0a6cd2eab0b385a715ba4,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-03T18:30:00.000Z,dinner,Roti,Veg Biryani,,,,,bread,rice,,,,,10,55,,,,,1,1,,,,,69e0a6cd2eab0b385a715ba5,69e0a6cd2eab0b385a715ba6,,,,,65,65,completed,paid,,2026-02-03T18:30:00.000Z,2026-02-03T18:30:00.000Z,0,3,62
69e0a6cd2eab0b385a715ba7,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-03T18:30:00.000Z,lunch,Chole,Bhatura,,,,,sabzi,bread,,,,,50,20,,,,,1,1,,,,,69e0a6cd2eab0b385a715ba8,69e0a6cd2eab0b385a715ba9,,,,,70,70,completed,paid,,2026-02-03T18:30:00.000Z,2026-02-03T18:30:00.000Z,0,4,66
69e0a6cd2eab0b385a715baa,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-03T18:30:00.000Z,lunch,Steamed Rice,Bhatura,,,,,rice,bread,,,,,25,20,,,,,2,1,,,,,69e0a6cd2eab0b385a715bab,69e0a6cd2eab0b385a715bac,,,,,70,70,completed,paid,,2026-02-03T18:30:00.000Z,2026-02-03T18:30:00.000Z,0,4,66
69e0a6cd2eab0b385a715bad,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-04T18:30:00.000Z,lunch,Jeera Rice,Paratha,,,,,rice,bread,,,,,30,15,,,,,1,2,,,,,69e0a6cd2eab0b385a715bae,69e0a6cd2eab0b385a715baf,,,,,60,60,completed,paid,,2026-02-04T18:30:00.000Z,2026-02-04T18:30:00.000Z,0,3,57
69e0a6cd2eab0b385a715bb0,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-05T18:30:00.000Z,lunch,Roti,Chana Dal,Veg Pulao,Shrikhand,,,bread,dal,rice,dessert,,,10,40,35,30,,,1,1,1,2,,,69e0a6cd2eab0b385a715bb1,69e0a6cd2eab0b385a715bb2,69e0a6cd2eab0b385a715bb3,69e0a6cd2eab0b385a715bb4,,,145,145,completed,paid,,2026-02-05T18:30:00.000Z,2026-02-05T18:30:00.000Z,0,7,138
69e0a6cd2eab0b385a715bb5,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-05T18:30:00.000Z,lunch,Roti,Veg Pulao,Shrikhand,Baingan Bharta,,,bread,rice,dessert,sabzi,,,10,35,30,45,,,1,2,1,2,,,69e0a6cd2eab0b385a715bb6,69e0a6cd2eab0b385a715bb7,69e0a6cd2eab0b385a715bb8,69e0a6cd2eab0b385a715bb9,,,200,200,completed,paid,,2026-02-05T18:30:00.000Z,2026-02-05T18:30:00.000Z,0,10,190
69e0a6cd2eab0b385a715bba,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-07T18:30:00.000Z,lunch,Dal Tadka,Raita,Garlic Naan,Gulab Jamun,Paneer Butter Masala,Veg Biryani,dal,side,bread,dessert,sabzi,rice,40,20,18,25,65,55,1,2,2,1,1,2,69e0a6cd2eab0b385a715bbb,69e0a6cd2eab0b385a715bbc,69e0a6cd2eab0b385a715bbd,69e0a6cd2eab0b385a715bbe,69e0a6cd2eab0b385a715bbf,69e0a6cd2eab0b385a715bc0,316,316,completed,paid,,2026-02-07T18:30:00.000Z,2026-02-07T18:30:00.000Z,0,16,300
69e0a6cd2eab0b385a715bc1,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-07T18:30:00.000Z,dinner,Jeera Rice,Butter Naan,,,,,rice,bread,,,,,30,15,,,,,1,2,,,,,69e0a6cd2eab0b385a715bc2,69e0a6cd2eab0b385a715bc3,,,,,60,60,completed,paid,,2026-02-07T18:30:00.000Z,2026-02-07T18:30:00.000Z,0,3,57
69e0a6cd2eab0b385a715bc4,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-07T18:30:00.000Z,lunch,Garlic Naan,Veg Biryani,Raita,,,,bread,rice,side,,,,18,55,20,,,,1,1,1,,,,69e0a6cd2eab0b385a715bc5,69e0a6cd2eab0b385a715bc6,69e0a6cd2eab0b385a715bc7,,,,93,93,completed,paid,,2026-02-07T18:30:00.000Z,2026-02-07T18:30:00.000Z,0,5,88
69e0a6cd2eab0b385a715bc8,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-07T18:30:00.000Z,dinner,Jeera Rice,Butter Naan,Malai Kofta,,,,rice,bread,sabzi,,,,30,15,70,,,,1,1,1,,,,69e0a6cd2eab0b385a715bc9,69e0a6cd2eab0b385a715bca,69e0a6cd2eab0b385a715bcb,,,,115,115,completed,paid,,2026-02-07T18:30:00.000Z,2026-02-07T18:30:00.000Z,0,6,109
69e0a6cd2eab0b385a715bcc,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-07T18:30:00.000Z,lunch,Dal Tadka,Raita,Paneer Butter Masala,Gulab Jamun,Veg Biryani,Garlic Naan,dal,side,sabzi,dessert,rice,bread,40,20,65,25,55,18,1,2,1,1,1,1,69e0a6cd2eab0b385a715bcd,69e0a6cd2eab0b385a715bce,69e0a6cd2eab0b385a715bcf,69e0a6cd2eab0b385a715bd0,69e0a6cd2eab0b385a715bd1,69e0a6cd2eab0b385a715bd2,243,243,completed,paid,,2026-02-07T18:30:00.000Z,2026-02-07T18:30:00.000Z,0,12,231
69e0a6cd2eab0b385a715bd3,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-08T18:30:00.000Z,lunch,Roti,Aloo Gobi,,,,,bread,sabzi,,,,,10,45,,,,,1,2,,,,,69e0a6cd2eab0b385a715bd4,69e0a6cd2eab0b385a715bd5,,,,,100,100,completed,paid,,2026-02-08T18:30:00.000Z,2026-02-08T18:30:00.000Z,0,5,95
69e0a6cd2eab0b385a715bd6,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-08T18:30:00.000Z,lunch,Dal Tadka,Aloo Gobi,,,,,dal,sabzi,,,,,40,45,,,,,2,1,,,,,69e0a6cd2eab0b385a715bd7,69e0a6cd2eab0b385a715bd8,,,,,125,125,completed,paid,,2026-02-08T18:30:00.000Z,2026-02-08T18:30:00.000Z,0,6,119
69e0a6cd2eab0b385a715bd9,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-11T18:30:00.000Z,lunch,Jeera Rice,Paratha,,,,,rice,bread,,,,,30,15,,,,,1,1,,,,,69e0a6cd2eab0b385a715bda,69e0a6cd2eab0b385a715bdb,,,,,45,45,completed,paid,,2026-02-11T18:30:00.000Z,2026-02-11T18:30:00.000Z,0,2,43
69e0a6cd2eab0b385a715bdc,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-12T18:30:00.000Z,lunch,Veg Pulao,Baingan Bharta,Roti,Chana Dal,,,rice,sabzi,bread,dal,,,35,45,10,40,,,1,1,1,2,,,69e0a6cd2eab0b385a715bdd,69e0a6cd2eab0b385a715bde,69e0a6cd2eab0b385a715bdf,69e0a6cd2eab0b385a715be0,,,170,170,completed,paid,,2026-02-12T18:30:00.000Z,2026-02-12T18:30:00.000Z,0,9,161
69e0a6cd2eab0b385a715be1,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-13T18:30:00.000Z,dinner,Butter Naan,Steamed Rice,Rasmalai,,,,bread,rice,dessert,,,,15,25,35,,,,2,2,1,,,,69e0a6cd2eab0b385a715be2,69e0a6cd2eab0b385a715be3,69e0a6cd2eab0b385a715be4,,,,115,115,completed,paid,,2026-02-13T18:30:00.000Z,2026-02-13T18:30:00.000Z,0,6,109
69e0a6cd2eab0b385a715be5,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-13T18:30:00.000Z,dinner,Butter Naan,Dal Makhani,Rasmalai,Shahi Paneer,Steamed Rice,,bread,dal,dessert,sabzi,rice,,15,55,35,70,25,,1,1,1,2,2,,69e0a6cd2eab0b385a715be6,69e0a6cd2eab0b385a715be7,69e0a6cd2eab0b385a715be8,69e0a6cd2eab0b385a715be9,69e0a6cd2eab0b385a715bea,,295,295,completed,paid,,2026-02-13T18:30:00.000Z,2026-02-13T18:30:00.000Z,0,15,280
69e0a6cd2eab0b385a715beb,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-13T18:30:00.000Z,lunch,Dal Fry,Aloo Matar,Jeera Rice,Roti,Fruit Custard,,dal,sabzi,rice,bread,dessert,,40,42,30,10,30,,1,1,1,1,2,,69e0a6cd2eab0b385a715bec,69e0a6cd2eab0b385a715bed,69e0a6cd2eab0b385a715bee,69e0a6cd2eab0b385a715bef,69e0a6cd2eab0b385a715bf0,,182,182,completed,paid,,2026-02-13T18:30:00.000Z,2026-02-13T18:30:00.000Z,0,9,173
69e0a6cd2eab0b385a715bf1,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-16T18:30:00.000Z,dinner,Dal Makhani,Mixed Veg Curry,Garlic Naan,Jalebi,,,dal,sabzi,bread,dessert,,,55,45,18,25,,,2,1,1,2,,,69e0a6cd2eab0b385a715bf2,69e0a6cd2eab0b385a715bf3,69e0a6cd2eab0b385a715bf4,69e0a6cd2eab0b385a715bf5,,,223,223,completed,paid,,2026-02-16T18:30:00.000Z,2026-02-16T18:30:00.000Z,0,11,212
69e0a6cd2eab0b385a715bf6,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-17T18:30:00.000Z,lunch,Moong Dal,Chole,Lassi,Steamed Rice,,,dal,sabzi,side,rice,,,38,50,25,25,,,1,1,1,1,,,69e0a6cd2eab0b385a715bf7,69e0a6cd2eab0b385a715bf8,69e0a6cd2eab0b385a715bf9,69e0a6cd2eab0b385a715bfa,,,138,138,completed,paid,,2026-02-17T18:30:00.000Z,2026-02-17T18:30:00.000Z,0,7,131
69e0a6cd2eab0b385a715bfb,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-18T18:30:00.000Z,dinner,Dal Tadka,Paneer Tikka Masala,,,,,dal,sabzi,,,,,40,70,,,,,1,1,,,,,69e0a6cd2eab0b385a715bfc,69e0a6cd2eab0b385a715bfd,,,,,110,110,completed,paid,,2026-02-18T18:30:00.000Z,2026-02-18T18:30:00.000Z,0,6,104
69e0a6cd2eab0b385a715bfe,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-18T18:30:00.000Z,dinner,Dal Tadka,Paneer Tikka Masala,,,,,dal,sabzi,,,,,40,70,,,,,2,1,,,,,69e0a6cd2eab0b385a715bff,69e0a6cd2eab0b385a715c00,,,,,150,150,completed,paid,,2026-02-18T18:30:00.000Z,2026-02-18T18:30:00.000Z,0,8,142
69e0a6cd2eab0b385a715c01,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-19T18:30:00.000Z,dinner,Veg Biryani,Garlic Naan,,,,,rice,bread,,,,,55,18,,,,,1,2,,,,,69e0a6cd2eab0b385a715c02,69e0a6cd2eab0b385a715c03,,,,,91,91,completed,paid,,2026-02-19T18:30:00.000Z,2026-02-19T18:30:00.000Z,0,5,86
69e0a6cd2eab0b385a715c04,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-19T18:30:00.000Z,lunch,Shrikhand,Roti,Veg Pulao,Baingan Bharta,Chana Dal,,dessert,bread,rice,sabzi,dal,,30,10,35,45,40,,1,1,2,2,2,,69e0a6cd2eab0b385a715c05,69e0a6cd2eab0b385a715c06,69e0a6cd2eab0b385a715c07,69e0a6cd2eab0b385a715c08,69e0a6cd2eab0b385a715c09,,280,280,completed,paid,,2026-02-19T18:30:00.000Z,2026-02-19T18:30:00.000Z,0,14,266
69e0a6cd2eab0b385a715c0a,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-20T18:30:00.000Z,dinner,Steamed Rice,Butter Naan,,,,,rice,bread,,,,,25,15,,,,,1,1,,,,,69e0a6cd2eab0b385a715c0b,69e0a6cd2eab0b385a715c0c,,,,,40,40,completed,paid,,2026-02-20T18:30:00.000Z,2026-02-20T18:30:00.000Z,0,2,38
69e0a6cd2eab0b385a715c0d,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-20T18:30:00.000Z,dinner,Dal Makhani,Steamed Rice,Rasmalai,,,,dal,rice,dessert,,,,55,25,35,,,,2,2,1,,,,69e0a6cd2eab0b385a715c0e,69e0a6cd2eab0b385a715c0f,69e0a6cd2eab0b385a715c10,,,,195,195,completed,paid,,2026-02-20T18:30:00.000Z,2026-02-20T18:30:00.000Z,0,10,185
69e0a6cd2eab0b385a715c11,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-22T18:30:00.000Z,lunch,Jeera Rice,Roti,Aloo Gobi,Dal Tadka,,,rice,bread,sabzi,dal,,,30,10,45,40,,,1,1,1,1,,,69e0a6cd2eab0b385a715c12,69e0a6cd2eab0b385a715c13,69e0a6cd2eab0b385a715c14,69e0a6cd2eab0b385a715c15,,,125,125,completed,paid,,2026-02-22T18:30:00.000Z,2026-02-22T18:30:00.000Z,0,6,119
69e0a6cd2eab0b385a715c16,69e0a6cc2eab0b385a715b37,69e0a6c62eab0b385a715ad4,2026-02-23T18:30:00.000Z,lunch,Roti,Veg Pulao,,,,,bread,rice,,,,,10,35,,,,,1,1,,,,,69e0a6cd2eab0b385a715c17,69e0a6cd2eab0b385a715c18,,,,,45,45,completed,paid,,2026-02-23T18:30:00.000Z,2026-02-23T18:30:00.000Z,0,2,43
